#{"t_start": 1749911480.3455844, "env_id": "LunarLander-v3"}
r,l,t
85.683958,1000,174.81109
-10.769187,307,180.747447
81.649788,1000,185.403142
132.7158,1000,190.637463
107.368125,1000,200.543047
153.166822,1000,204.999176
-13.0264,297,212.475369
164.039221,1000,217.990341
158.230336,1000,226.287563
12.946112,237,227.376937
139.06019,1000,232.483551
64.442111,1000,241.50211
124.800886,1000,252.116204
142.759219,1000,260.947871
240.803528,450,262.544091
162.281225,1000,267.96769
139.3738,1000,279.130796
123.345451,1000,283.800467
255.001033,954,292.354116
155.7865,1000,296.862419
241.351569,656,307.625311
253.519162,610,309.958539
-15.24117,254,310.813761
90.396794,1000,321.480266
274.467333,372,322.794656
4.79563,272,323.692047
220.570666,367,331.358349
257.373991,468,332.935426
40.739374,285,334.027961
219.141177,354,340.952136
217.415326,422,342.44753
233.678076,407,343.730458
243.094565,368,344.855452
222.709851,600,346.93545
261.57339,383,353.224297
224.376991,456,354.957473
240.648413,514,357.214084
192.044751,448,358.629233
227.976261,375,359.916542
-15.206789,313,366.626597
239.210379,354,367.784746
247.511247,345,368.932465
259.263796,363,370.130928
190.561971,522,372.245973
255.772847,376,381.08175
217.734253,386,382.528436
226.00583,357,383.591578
244.167478,335,384.809841
254.264204,366,386.12394
253.207405,332,387.278926
219.962576,344,393.609693
-52.112282,248,394.451412
255.934895,308,402.774372
250.661847,622,404.994914
259.22018,569,406.848567
2.449907,269,413.339535
265.358981,355,414.26011
13.140174,263,414.901772
282.547675,388,416.315014
249.524475,297,417.373849
267.758181,326,418.325199
228.894748,370,425.867496
237.166159,536,427.660604
-15.237165,318,428.468528
15.701688,244,429.077024
139.358179,1000,437.906716
94.645907,1000,440.947236
238.324298,335,441.948135
-14.721471,274,442.790575
255.032074,297,448.900761
237.104935,368,449.862134
224.673871,322,450.687735
240.153651,312,451.459558
222.175976,324,452.359029
255.565674,316,453.377999
250.708461,331,459.057059
4.469876,254,459.711738
244.613316,417,465.575058
243.097469,313,466.616376
177.458375,740,468.975827
220.398366,321,475.261221
229.720529,311,476.110161
234.179564,299,477.084162
198.532945,381,478.211267
234.386808,305,478.97009
239.088293,322,479.705678
257.798046,337,480.543737
260.892468,278,486.103828
250.324224,346,487.064848
286.177463,413,488.01575
220.196721,523,489.462208
279.427049,430,490.391395
15.949291,296,495.812135
227.954992,281,496.417025
233.613259,274,497.039271
265.723187,340,497.827925
227.335536,337,498.595035
225.277097,353,499.548119
14.638323,242,500.28967
256.512553,317,506.730895
0.013238,263,507.351761
235.186083,276,508.034592
244.529008,304,508.726323
222.328016,296,509.52456
13.321784,241,509.992369
229.641673,333,510.908386
257.942234,269,520.181255
174.543227,391,521.156289
259.617935,348,522.020045
262.886493,321,522.848695
256.330012,347,523.73132
228.639235,296,524.385352
254.158717,314,529.626722
238.358373,276,530.211838
1.352855,254,530.746687
11.841427,224,531.241895
275.976863,302,531.987214
14.7858,214,532.475073
254.888013,282,533.092536
-27.408433,291,533.699129
261.66119,286,539.46968
175.762053,508,541.59277
264.762442,314,542.92214
142.403991,1000,552.498914
264.066212,312,553.271131
229.679985,307,554.011559
258.543518,320,554.773874
244.283106,309,555.516153
143.298527,1000,564.703657
36.475699,227,565.328705
240.488036,287,566.181198
278.766704,392,567.3013
270.574993,403,568.471852
254.913078,281,569.249734
241.950332,273,580.15408
277.195356,298,580.845826
1.089659,227,581.416252
269.294961,321,582.276104
11.951514,243,583.079815
217.772715,317,584.039819
84.852579,1000,592.753104
271.166726,272,593.950608
251.891982,268,594.758951
278.579162,294,595.75001
206.646233,308,596.864098
263.037007,305,598.709774
72.580434,1000,608.387276
256.17044,243,609.15833
234.690876,264,610.104968
243.482873,267,610.905723
256.145394,280,611.918394
269.511493,269,618.209387
257.067443,268,618.878413
268.072289,331,619.668395
233.604017,252,620.167439
264.36018,266,620.713268
268.023738,290,621.355666
254.920755,285,622.037816
286.910375,358,628.676586
253.642288,252,629.646417
235.1566,262,630.436031
241.123428,319,631.213478
213.374053,436,632.623249
268.474552,273,633.432797
254.288453,281,639.614167
231.573063,293,647.208261
227.119681,263,647.771263
249.987618,292,648.42918
277.789777,297,649.149014
274.02897,295,649.902927
266.552384,246,650.522802
6.787271,217,650.960283
222.578544,324,657.426677
264.288049,267,658.170535
8.894355,171,658.543169
248.930402,294,659.37973
29.736886,202,659.902622
2.820812,235,660.504277
262.841833,274,661.299225
240.133999,266,661.95324
286.239311,282,662.899412
276.565757,259,668.767025
252.726811,251,669.447058
258.498012,270,670.063415
284.028876,407,671.229722
225.246699,463,672.452138
135.373803,1000,680.638245
217.460531,271,681.528624
250.673887,275,682.309466
240.163765,251,682.989596
233.582274,284,683.618615
223.081949,265,684.376469
279.751527,307,690.305809
170.309518,558,692.573119
192.4306,486,694.424433
247.027546,372,700.647593
273.351446,275,701.469873
242.382273,269,708.204895
86.438372,1000,711.504711
267.380588,278,712.216536
288.009868,307,712.891129
245.675676,288,713.588665
268.68126,286,722.459997
268.803356,289,723.358747
232.639489,654,726.132119
270.42794,297,726.966389
258.695525,352,727.973091
218.273965,269,734.963382
260.961946,280,735.808071
243.289565,291,736.495578
277.331834,290,737.468295
267.36153,279,738.265113
286.617778,377,739.299962
233.516674,273,740.233611
271.392865,365,748.142191
236.756159,376,749.155197
270.513998,295,749.96447
239.787484,402,751.095261
262.546399,372,752.085058
261.26336,277,752.923626
264.013929,297,760.364412
252.148989,273,761.01261
264.176028,263,761.663746
31.186648,221,762.214751
279.922811,322,763.018918
261.030088,258,767.320868
266.640426,285,768.355926
248.907543,266,769.158386
278.786971,303,776.525665
122.357064,1000,779.752276
284.122693,353,781.103986
135.721341,1000,789.331394
279.52095,291,789.977009
265.264422,261,790.499378
237.941062,256,791.045269
265.908056,289,791.783755
257.867997,250,792.382932
269.415322,268,798.372087
249.806768,250,799.40027
251.471992,267,800.057185
244.246331,272,800.734927
238.046425,296,801.437972
