#{"t_start": 1749911480.3455844, "env_id": "LunarLander-v3"}
r,l,t
-287.409434,106,0.202573
-146.392647,65,0.307556
-465.365132,90,0.490966
-307.486165,90,0.709149
-109.804444,83,0.901698
-129.85508,79,1.189854
-85.883394,91,1.46964
-78.718561,61,1.669558
-164.010547,91,1.951313
-71.473662,113,2.354154
-128.661313,89,2.621911
-133.138145,72,2.798229
-189.999138,75,2.985311
-407.336621,95,3.261992
-266.221329,82,3.461925
-182.115767,58,3.629202
-111.031684,62,3.863645
-137.14404,114,4.254108
-258.490266,125,4.787001
-177.251797,94,4.97142
-198.050657,69,5.10532
-91.897905,94,5.317316
-163.139389,72,5.454699
12.661055,122,12.029197
19.275944,108,12.190291
-361.125393,85,12.316643
-115.995323,165,12.566756
-60.900365,98,12.715813
-127.511989,114,12.90047
-63.318296,63,12.998621
-341.23662,131,13.231739
-302.029359,113,13.395728
-197.436813,94,13.540907
-198.723025,140,13.750074
-101.726945,74,13.882386
-83.389465,140,14.087382
-139.789788,86,14.219748
-55.509513,107,14.384017
-218.360451,82,14.502156
-87.898082,113,14.660801
-177.47712,141,14.880207
-145.166687,112,15.035034
-96.727749,140,20.024788
-172.224741,126,20.206008
-120.275341,94,20.352156
-75.802127,63,20.434525
-158.021837,152,20.655495
-62.9346,90,20.784925
-135.16578,91,20.917644
-247.051137,92,21.058136
-290.871127,126,21.233686
-290.251967,131,21.42413
-286.241577,138,21.646672
-293.618802,129,21.844586
-106.894757,76,21.969703
-97.456784,80,22.079746
-110.999463,122,22.255497
-258.090131,89,22.386542
-125.886088,166,22.668114
-108.958293,83,22.831776
-160.686716,118,27.894073
-83.908262,98,28.128153
-121.066827,163,28.585558
-106.869009,127,28.974339
-154.809453,95,29.273759
-325.041842,135,29.527619
-86.908641,73,29.650737
-97.324659,95,29.794603
-97.947232,74,29.9031
-41.11965,128,30.114118
-258.11714,129,30.301867
-198.829954,120,30.487826
-95.482164,112,30.655164
-55.121068,162,31.011882
-48.685228,127,31.21178
-60.749404,112,31.377712
-39.477942,147,31.596826
-273.652614,106,31.76883
-319.32712,115,36.78763
-93.457988,146,37.016362
-74.781759,193,37.326433
-94.522998,164,37.575702
-192.848298,129,37.772733
-73.256622,109,37.932767
-87.759686,94,38.084672
-157.114177,111,38.260631
-210.717138,193,38.562801
-246.302895,167,38.81991
-91.954726,102,38.975912
-59.142819,91,39.120692
-70.140845,160,39.374869
-38.175312,131,43.755913
-213.965595,119,43.931957
-27.100228,145,49.026686
13.114894,105,49.289089
-228.282592,193,49.612334
-275.817796,124,49.827223
-55.734315,150,50.070042
-28.641186,116,50.249125
-236.205265,105,50.459177
-32.492647,185,50.802756
-328.237075,118,51.032461
13.627331,113,51.265412
-223.541808,126,51.544649
-118.970127,111,51.803415
-244.060797,214,52.274306
-73.987436,176,52.559982
-26.438114,109,52.731037
-54.073508,157,57.764607
-66.959984,193,58.076136
-69.992013,78,58.209727
-19.559674,124,58.427037
-60.248328,174,58.698929
-20.405974,118,58.884048
-77.323918,155,59.134716
-232.809709,185,59.436404
-230.71935,188,59.739967
-26.967273,111,60.033363
-27.90414,234,60.422859
46.406867,110,60.601831
-173.928053,176,60.894409
-71.720198,108,65.787557
12.340069,128,66.009178
-18.874412,146,66.234595
-16.038117,114,66.417584
-45.508949,211,66.771912
-16.798078,131,66.990388
-55.887653,242,67.39832
30.821679,135,67.628574
-23.914556,110,67.816978
4.574856,195,68.133105
-285.016666,166,68.419718
-62.881398,174,68.715192
-34.995906,180,69.017565
-102.401541,230,74.31086
-194.963592,181,74.625164
0.62606,144,74.885552
-45.077823,245,75.336965
-41.000435,164,75.667561
-58.883767,291,76.617892
5.628511,183,77.318838
23.274473,202,78.229844
-62.032568,226,78.873188
66.939722,1000,86.625009
9.063213,231,87.305322
2.437924,178,87.87362
12.844955,245,88.767287
-128.453813,211,94.978657
31.042221,216,95.505693
57.371756,131,95.833505
46.612983,229,101.552318
16.711076,124,101.983139
-65.960181,230,102.871541
-87.877586,200,103.8944
-39.995065,280,104.959929
-43.579446,265,105.719316
-7.548082,192,106.099446
-126.78796,173,106.510073
95.418276,1000,117.715426
-16.892869,197,118.443132
105.595347,1000,123.250834
-0.205124,262,124.165165
28.179598,233,129.734415
113.195679,1000,133.301547
-53.239482,163,133.846869
-3.037267,219,134.430123
111.985981,1000,144.532146
196.52715,520,146.389185
-42.170682,214,147.245226
9.662229,194,147.883489
106.565953,1000,157.730406
-69.432326,321,158.894248
