#{"t_start": 1749911480.3420126, "env_id": "LunarLander-v3"}
r,l,t
-116.222763,122,0.227957
-142.311232,111,0.427649
-130.182772,71,0.588674
-132.366542,76,0.779913
-43.564587,64,0.928092
-102.858764,74,1.204009
-145.202216,71,1.379935
-110.428587,76,1.672354
-107.209668,93,1.966328
-343.203136,116,2.374211
-83.279785,77,2.600698
-58.060231,99,2.848345
-113.769276,78,3.043875
-145.360732,68,3.246671
-278.410576,97,3.494014
-267.719788,107,3.855461
-157.827429,77,4.108241
-100.313531,65,4.33638
-92.68192,75,4.641964
-131.105157,86,4.913519
-112.718052,66,5.024492
-371.1283,98,5.259315
-81.340425,69,5.396264
-122.6349,112,5.585638
-166.037444,106,12.123545
-155.219157,168,12.374331
-423.554603,126,12.566712
-354.133034,107,12.728291
-102.764278,82,12.858883
-50.637972,97,13.017656
-82.492028,69,13.130654
-119.808348,95,13.296184
-24.015032,79,13.409959
-272.220339,132,13.613167
-107.130764,81,13.734842
-109.801702,99,13.905822
-289.790887,131,14.095961
-183.755753,107,14.262958
-202.206906,118,14.439449
-227.498041,83,14.55191
-231.979786,101,14.70797
-98.933886,79,14.821265
-151.88319,70,14.930051
-345.873388,127,19.891376
-80.273142,81,20.010703
-174.283679,116,20.174726
-120.56272,94,20.312792
-88.687389,97,20.454834
-243.506738,130,20.64389
-72.374833,89,20.773884
-133.979193,86,20.89739
-262.703614,105,21.057271
-97.042485,112,21.210011
-115.806493,90,21.345187
-363.894017,125,21.533656
-383.115786,101,21.693202
-183.753009,133,21.904115
-64.443323,64,22.000605
-91.578557,127,22.18179
-250.475254,118,22.353299
-99.881263,78,22.474728
-48.977389,75,22.605433
-172.66771,110,22.816431
-182.650739,144,27.93089
-414.556264,191,28.437134
-304.966962,161,28.917243
-85.112972,71,29.130382
-62.142154,88,29.392245
-112.824125,135,29.601329
-155.571765,167,29.8641
-264.695427,119,30.055542
-86.328614,93,30.196035
-78.62912,81,30.317849
-82.654809,72,30.426658
-38.887593,94,30.567028
-84.458412,124,30.753186
-259.60366,109,31.033681
-232.556046,116,31.212151
-274.696702,113,31.380334
-69.088075,93,31.519698
-218.953509,90,31.662681
-202.933855,124,36.698833
-69.197677,74,36.808448
-232.011475,138,37.028078
-105.554827,117,37.212182
-88.529235,124,37.405061
-122.95503,90,37.543675
-26.354948,82,37.672653
-181.696306,90,37.807872
-82.269398,114,37.977976
-244.239524,146,38.214082
-372.126689,97,38.363078
-362.184223,134,38.575839
-49.321252,142,38.79522
-36.945547,103,38.951314
-72.312149,133,39.175203
-76.886337,111,39.342576
-76.118171,119,43.690349
-97.591823,122,43.886374
-120.043915,103,48.915355
-82.127745,205,49.33709
17.01389,135,49.550709
-13.215052,98,49.719622
-296.633182,133,49.947569
-227.724573,90,50.094703
91.462618,1000,52.152001
-95.355817,97,52.318234
-52.045096,124,52.507954
-51.397361,151,57.515331
-37.783071,148,57.773069
-250.032685,101,57.931347
-54.018561,85,58.071661
-52.658574,224,58.464126
-118.144152,145,58.683428
-268.859095,205,59.015018
-65.82438,160,59.261312
-62.352045,156,59.517306
-80.605047,191,59.85655
0.196649,94,60.096395
-63.380009,135,60.31861
-118.501254,133,60.542187
-21.961064,95,60.692708
-163.861952,101,60.862661
-13.361537,153,65.837347
-105.894901,157,66.095251
-15.37935,96,66.247381
-46.638365,171,66.520333
3.430216,138,66.748487
-98.972028,218,67.11346
-243.884298,169,67.408919
-43.378836,164,67.691741
-43.857155,169,67.964306
1.948858,150,68.2203
35.931236,141,68.467712
-5.761165,156,68.728259
5.075308,135,68.952464
1.068146,138,74.079213
-49.226807,106,74.264238
-112.966388,185,74.58079
-57.453444,164,74.882747
-19.239016,189,75.220705
-70.935729,122,75.44637
23.225226,140,75.771684
23.949639,229,76.518004
14.317683,117,76.964533
-33.427482,165,77.641025
-52.820067,134,78.274365
18.587203,178,78.801444
69.502312,169,79.083521
-44.927958,261,84.507397
-6.512189,120,84.84966
