#{"t_start": 1749911480.3420126, "env_id": "LunarLander-v3"}
r,l,t
21.917107,183,85.41821
-142.728997,256,86.401176
74.877336,1000,95.258733
95.09981,1000,103.686301
-23.923623,239,104.658756
-23.423309,199,105.279833
-36.410926,230,105.914084
105.082813,1000,116.468791
19.490965,222,117.431265
-32.906798,162,118.048283
-13.830066,175,118.69569
-53.973918,212,119.520481
-40.070801,219,120.694695
1.651433,206,121.497099
-154.545436,458,123.939482
4.943559,213,129.451502
7.52469,242,130.231856
-182.013903,233,130.802483
28.1228,214,131.522252
30.581358,323,132.858979
44.307483,194,133.644265
126.216989,1000,143.412835
178.067472,384,144.863482
94.560383,1000,148.400015
103.090825,1000,158.447184
-44.525256,257,159.361834
4.831053,287,160.448005
71.350341,1000,181.064828
115.040754,1000,185.742381
157.469632,1000,196.198043
116.255246,1000,200.880667
146.948575,1000,205.459905
143.368006,1000,216.840612
4.004467,267,218.210808
184.271141,822,225.858988
98.668331,1000,230.652944
118.651998,1000,235.464725
124.187618,1000,243.712488
12.240629,254,251.632293
104.514536,1000,260.613859
242.368668,436,261.926004
120.400762,1000,267.352486
153.022069,1000,278.514995
178.355429,1000,283.331781
145.384516,1000,292.016427
147.128587,1000,296.488308
26.609803,336,297.828595
138.557367,1000,309.934704
249.448958,598,312.643738
-9.491456,322,314.511306
136.573703,1000,323.742779
-9.019331,336,331.293382
108.576465,1000,334.833772
240.135341,449,342.085332
248.619002,459,343.595725
208.710633,396,344.806705
252.976628,509,346.564276
-4.621231,330,352.810387
18.817374,337,353.818134
213.308138,344,355.263106
261.85925,386,356.932133
255.963461,370,358.17573
246.28172,350,359.309985
246.294795,357,366.207602
227.76926,374,367.39311
235.847056,540,369.248154
227.196625,397,370.608071
-78.887763,328,371.971665
270.894675,329,380.683321
2.842638,325,381.757172
249.486689,388,383.12422
172.510517,603,385.337119
-1.305512,287,386.310009
251.037232,377,392.897468
111.686256,1000,403.429698
242.428189,320,404.543267
229.00222,296,405.571357
251.42996,705,413.50216
239.030865,327,414.348982
228.729473,310,415.15537
235.457381,354,416.469101
-2.145081,281,417.428756
76.605688,1000,426.951431
260.974992,334,427.994705
223.296079,327,428.84721
244.385625,318,429.649189
49.635013,241,430.60281
229.252838,315,437.316745
236.222607,311,438.095491
245.114992,395,439.260704
10.630044,211,439.861343
233.435895,309,440.901583
210.336301,303,441.841197
-36.053845,270,442.594438
224.809828,408,449.085317
231.699388,324,449.918966
216.139276,329,450.77029
253.033465,328,451.572286
226.031776,304,452.432694
108.601689,1000,464.746426
238.618832,294,465.573217
237.408014,331,466.671945
-2.239636,304,467.612601
199.259078,462,469.116327
73.885151,1000,477.373634
-20.958041,286,478.258402
18.339657,300,479.006645
265.901792,320,479.734348
197.585255,784,486.642261
225.207179,337,487.453631
255.991318,338,488.295631
273.114475,396,489.395154
247.815936,405,490.256984
269.200479,282,495.661922
226.445769,279,496.237283
249.815152,286,496.870734
261.412065,306,497.596048
241.86372,317,498.33124
245.157629,275,499.027924
177.893402,441,500.31321
258.113931,314,506.739639
219.967493,283,507.399828
243.592753,409,508.375267
259.985462,337,509.241612
17.983993,199,509.676595
206.543616,920,520.636576
230.763448,286,521.30049
262.120813,310,522.080572
230.737957,296,522.850823
241.064174,313,523.644653
257.203052,300,524.327123
241.592478,341,529.622055
280.53352,368,530.420302
275.082552,294,531.059093
235.899188,302,531.721966
254.995216,323,532.513872
244.987921,340,533.274354
214.447241,310,539.010942
238.321517,317,539.951708
298.680404,360,541.432003
245.802422,308,542.813166
242.621623,294,543.758218
233.064522,435,545.198696
233.444208,282,552.440445
276.792942,332,553.271026
244.240621,311,554.023596
220.037561,274,554.674445
25.514972,225,555.25178
135.510563,1000,564.258505
177.348581,494,565.750985
242.112903,310,566.606403
256.172107,312,567.543246
245.101205,262,568.283223
229.798418,308,569.157788
260.928851,302,580.151627
12.587224,253,580.750813
131.165157,494,581.990921
272.884347,309,582.963129
244.789083,276,583.850297
293.103419,287,584.517834
21.478317,262,585.16068
242.28918,293,591.881143
229.264838,439,593.679508
260.861708,279,594.613192
255.863987,292,595.522186
263.900299,380,596.908124
279.456683,340,598.841292
257.859847,292,605.872039
269.751025,296,607.112389
230.922851,246,607.981323
244.797816,284,608.902024
246.657353,275,609.929107
257.971215,304,610.7684
285.090087,301,611.900094
213.869465,311,618.303172
270.753965,298,619.021104
265.622269,250,619.644276
231.351723,275,620.183643
233.321969,282,620.7629
237.247795,316,621.48181
101.069816,1000,630.140141
261.451577,284,630.859092
267.873599,306,631.645922
226.529138,247,632.525299
9.178845,207,633.189076
282.814924,319,639.445093
245.144042,260,647.018382
276.203888,249,647.562939
254.056215,334,648.289259
243.400052,255,648.873365
31.654294,241,649.471393
257.845192,299,650.287793
37.367804,222,650.784801
261.12458,283,651.454829
246.207949,262,657.838824
261.795811,278,658.465913
249.341523,250,659.120958
258.58318,275,659.887725
224.143706,256,660.542208
246.40549,281,661.367587
254.977096,312,662.234069
214.040102,668,669.312024
42.319205,200,669.779979
226.980562,398,670.89102
240.383683,249,671.630729
-9.768271,214,672.168482
247.951495,271,672.771606
249.018462,458,679.46994
282.628954,263,680.259609
268.903973,306,681.219021
289.093871,472,682.555217
254.166508,255,683.166477
131.80609,1000,691.292154
129.730125,1000,695.006449
93.458581,1000,709.192379
250.647009,298,710.111037
237.875636,283,710.964953
254.163092,270,711.865684
17.29923,235,712.39261
255.722613,416,713.352341
158.415061,1000,724.652859
237.69403,282,725.946184
25.218629,240,726.652046
277.649039,313,727.530272
230.30095,273,728.410569
254.656092,257,735.355729
258.427059,286,736.142993
239.843839,269,736.751193
250.676748,306,737.823521
51.768615,196,738.363833
121.937417,1000,748.220891
285.907316,377,749.224764
284.233809,410,750.305669
144.073425,1000,753.360758
-29.275156,189,760.321106
267.494658,384,761.237086
276.597463,298,762.008275
245.836627,246,762.574096
135.537681,1000,769.232407
260.006949,257,776.472286
261.156657,253,777.015938
261.240048,256,777.622599
253.090743,256,778.602015
277.969627,258,779.74995
257.770147,257,780.73074
243.81138,275,781.539203
258.259956,259,782.364303
259.293146,318,788.570657
254.94941,275,789.402297
237.76394,259,789.974857
253.761746,280,790.544193
264.466697,315,791.222272
230.839339,963,799.344821
251.044296,263,800.016456
251.887716,250,800.597946
285.902494,261,801.167302
270.85835,289,802.048337
248.723092,385,803.315568
