#{"t_start": 1749911480.3403394, "env_id": "LunarLander-v3"}
r,l,t
-242.409848,69,0.144794
-214.661314,122,0.349211
-420.721679,118,0.605503
-201.312262,116,0.883548
-77.101755,130,1.291291
-92.430081,74,1.570493
63.910215,1000,4.690999
-127.535256,126,5.006262
-173.673106,83,5.208415
-113.206162,104,5.409713
-102.444326,65,5.514878
-73.937295,67,12.009914
-200.6068,143,12.223098
-41.171837,152,12.453595
23.923875,142,12.662244
-90.84002,65,12.760816
-102.11536,74,12.880989
-215.498037,114,13.063158
-163.758816,84,13.222774
-200.075981,103,13.37186
-31.321154,80,13.486972
-465.42752,115,13.672057
-138.513484,119,13.865307
-67.037835,71,13.973218
-351.404618,162,14.216507
-38.693602,78,14.337987
-126.257279,79,14.453693
-29.79164,122,14.62171
-158.188802,71,14.737649
-114.711465,108,14.900356
-155.751058,140,15.106843
-8.19724,109,20.039238
-109.532971,115,20.205136
-150.709582,99,20.359054
-58.664835,65,20.443803
-62.076349,90,20.571764
-283.309065,100,20.723826
-56.995524,137,20.916752
-133.937154,104,21.074526
21.833445,108,21.226582
-84.141303,63,21.310227
-315.158636,101,21.471469
-173.482514,105,21.635001
-102.6613,167,21.896661
-136.876893,117,22.072278
-108.417835,66,22.160419
-54.668929,67,22.262521
-78.475654,99,22.406712
-185.631436,105,22.580544
-110.555179,68,22.706096
-99.054288,93,22.891893
-66.396459,61,23.112183
-155.727435,163,28.229721
-62.579072,140,28.629318
-89.026489,84,28.87709
-149.434478,101,29.19726
-103.979602,65,29.38857
-136.722527,165,29.649972
-120.500767,104,29.811981
-86.186598,137,30.02102
-23.409922,88,30.164839
-93.188252,67,30.259136
-2.478971,115,30.44008
-129.309889,98,30.582058
-69.359125,150,30.808674
-153.844877,80,31.044537
-80.810936,173,31.313835
-123.608344,121,31.490936
-121.350801,128,31.693707
-116.015701,119,36.716806
-40.253763,147,36.944966
-358.822519,195,37.254549
-84.641656,70,37.367561
-71.319465,93,37.505154
-189.919178,142,37.724122
-205.188422,156,37.959996
-187.566778,165,38.224126
-74.450467,117,38.400633
-61.898481,81,38.534204
-165.139065,111,38.694897
-207.918995,106,38.869719
-141.967128,132,39.074579
-79.367787,150,39.313478
-36.754806,89,39.452997
-84.532428,131,43.831909
-115.857575,130,48.899351
-103.076211,115,49.075373
-54.85453,99,49.333433
-62.916875,165,49.603109
-238.911891,184,49.917756
-29.614099,99,50.079466
-209.657429,206,50.438229
-284.701676,154,50.724053
-80.174155,93,50.898536
-102.943732,95,51.089408
-61.167054,167,51.445957
-143.89523,75,51.612652
-22.593131,122,51.907384
-256.146053,180,52.292318
-154.265904,142,52.513907
-96.328668,166,57.544539
-102.986481,142,57.791448
-109.45359,123,57.983196
-18.919172,108,58.172325
-76.520976,162,58.454305
13.89435,96,58.594151
-39.427352,159,58.848379
-44.593986,153,59.098989
-51.988589,162,59.352445
-27.525415,135,59.573436
-8.694188,189,59.999997
-15.297765,169,60.271474
-84.976555,115,60.469905
-144.272633,126,60.669222
-39.974413,144,60.912912
1.101224,221,66.00344
-136.238887,225,66.360466
-8.851279,123,66.548802
-78.098881,144,66.801528
-77.969347,123,67.006604
-57.68176,219,67.370847
15.648703,107,67.54824
-75.339497,165,67.839801
-105.421688,239,68.240256
-91.166148,121,68.44478
1.821538,124,68.641904
-3.728265,145,68.899124
-36.40511,217,74.160275
-18.903081,179,74.460874
-9.460933,103,74.654968
-68.800401,257,75.106351
83.356735,1000,78.430853
-33.466747,108,78.721777
-6.314563,133,78.970447
92.751351,1000,86.819665
-73.505431,202,87.39295
6.514445,274,88.315251
-228.553105,234,89.183649
-78.921955,174,95.229738
-6.172014,123,95.469744
-47.7987,186,96.049269
-76.170985,196,101.569527
6.334063,155,102.114686
75.258866,1000,105.88526
56.85945,1000,116.362648
93.068513,1000,120.670418
-20.350435,224,121.534566
100.804926,1000,130.454489
121.291432,1000,134.05005
6.279857,198,134.572222
123.292617,1000,144.703459
145.257897,1000,148.265844
94.257701,1000,158.26181
152.701382,1000,174.042902
-25.32605,244,174.944336
131.114927,1000,184.159749
75.508841,1000,189.788093
171.153067,1000,199.363781
161.665571,1000,203.717857
133.943075,1000,215.088181
119.916753,1000,219.793573
149.22447,1000,228.428564
124.836856,1000,233.34357
53.223506,1000,242.194521
119.697581,1000,252.795291
143.744011,1000,261.435781
37.109708,348,262.943194
159.185773,1000,268.397545
125.639791,1000,279.501797
110.5849,1000,284.094864
149.964503,1000,292.846336
110.375549,1000,297.355633
-11.508587,262,298.393893
94.118013,1000,310.504752
136.227135,1000,315.245364
231.757401,364,322.403453
220.106171,364,323.580657
227.557844,402,331.370871
261.329041,394,332.650185
227.425942,586,334.823829
121.351633,1000,343.874815
237.758932,599,345.692652
222.059693,470,347.491782
215.188985,377,353.710556
199.154361,788,357.037655
237.82147,342,358.153492
223.230602,370,359.35889
254.241587,416,366.50184
6.059038,313,367.436876
