#{"t_start": 1749911480.3403394, "env_id": "LunarLander-v3"}
r,l,t
227.405608,347,368.577012
65.780101,1000,372.341692
225.186721,400,381.258065
263.024396,375,382.676357
228.508858,345,383.69707
250.073641,348,385.01114
207.188399,619,387.159935
271.419843,308,393.400211
214.897109,317,394.435954
227.844213,332,402.86112
229.751633,321,403.880918
-0.227218,248,404.864306
242.232001,341,406.001023
2.319392,316,412.709752
236.247285,288,413.547192
28.830563,323,414.3877
250.395846,359,415.360256
259.336225,355,416.725266
9.980637,194,417.381594
277.273692,369,418.481551
222.686194,304,425.772767
-4.320444,243,426.584585
192.827466,330,427.704718
234.508931,341,428.587572
5.511462,212,429.094303
245.502306,324,430.117546
-39.708354,277,431.375086
224.164794,307,437.710261
262.175557,347,438.600589
252.009554,385,439.764915
263.385959,295,440.675901
225.158976,317,441.742183
238.258056,354,442.804202
228.147893,318,448.989583
257.430856,368,449.930421
223.056366,338,450.800045
93.343555,1000,453.650215
10.215792,251,459.080829
246.219722,304,459.871292
239.738023,301,465.428832
230.638673,297,466.314083
252.428149,327,467.416752
3.573478,213,467.996853
230.165713,404,469.338879
244.365641,312,475.638806
240.234751,384,476.787896
236.201204,384,477.88178
248.442411,324,478.718077
37.172361,253,479.314506
249.091079,318,480.088707
206.507571,330,485.746236
257.496989,341,486.765738
249.340713,312,487.501332
230.463908,292,488.224536
237.443495,420,489.387966
238.236724,290,490.002558
255.105555,319,495.498092
6.08778,201,495.90981
251.039368,252,496.465141
4.208842,242,497.005814
14.780148,211,497.472449
275.154684,273,498.141923
228.203191,421,499.194762
250.935789,292,499.925781
12.55084,245,506.315336
234.913582,389,507.271672
216.108564,290,507.988611
163.089837,598,509.47471
253.828763,339,510.216228
264.891209,267,510.940729
254.982275,319,520.357135
94.613057,1000,522.851083
200.143047,303,523.613286
239.758632,284,524.258505
254.438808,334,529.527603
252.656861,348,530.301841
262.909699,304,530.958285
211.478721,749,532.703235
245.659162,275,533.310689
250.488763,375,539.223096
241.238965,277,540.109674
138.568675,1000,544.057773
243.889411,297,545.010064
23.522856,221,545.642534
235.313326,280,552.840189
230.325218,366,553.729831
254.48092,311,554.465784
256.62296,290,555.215203
262.252576,311,555.91673
255.9856,289,556.785267
268.097271,280,557.744015
270.2904,306,564.843142
25.047123,243,565.514674
273.086566,350,566.500433
271.355386,267,567.298892
286.710363,293,568.115541
223.377663,299,568.948765
-18.811096,245,573.825348
279.145812,270,580.467403
228.230418,297,581.176119
249.050472,261,581.884063
248.515849,360,583.008594
231.114904,302,583.954511
227.079548,277,584.586411
236.605487,271,585.251454
135.586136,1000,594.693884
233.810835,304,595.689522
261.194055,273,596.636868
243.673295,280,597.881397
240.379969,269,599.369515
260.486839,330,606.543836
104.979097,1000,610.137703
213.783373,639,612.251032
-33.627333,216,618.337948
221.086173,483,619.531486
253.388145,277,620.086653
240.808814,276,620.649363
256.535893,298,621.296254
252.437654,299,622.019698
208.954981,299,628.487731
148.227548,1000,631.465044
223.607061,281,632.42704
267.926593,277,633.30102
255.067565,312,639.56287
248.57216,269,647.125968
283.176842,266,647.696001
263.653664,357,648.491338
251.60519,308,649.246291
268.858544,243,649.853181
280.619935,294,650.602737
-29.669543,224,651.04764
227.341339,353,657.689683
290.573126,258,658.306825
258.994497,237,658.803657
248.825901,306,659.744973
263.306823,273,660.429486
275.804346,329,661.384048
254.916969,290,662.166969
268.36916,342,668.364633
259.067888,302,669.205037
267.739263,236,669.773099
257.511947,298,670.473156
278.098063,279,671.438132
285.690206,249,672.084441
246.805085,250,672.632432
139.080888,1000,680.934859
258.91425,258,681.718541
171.878013,466,682.999479
276.254162,286,683.635101
271.920514,280,684.439043
117.990942,1000,693.146663
239.812488,295,694.277236
256.320055,259,695.095411
219.400724,332,701.175571
279.143038,259,702.126098
245.889,383,709.207798
284.43242,264,710.02833
255.837874,262,710.792114
249.523133,370,711.995548
265.055196,300,712.67725
266.482038,274,713.279388
260.777475,329,722.187729
243.849768,268,723.000834
289.503062,268,723.977532
206.011578,286,725.29959
233.739852,266,726.302262
217.12871,267,727.065689
233.366106,323,728.00036
235.813446,305,735.124321
265.665346,308,736.001386
277.555782,428,737.191709
20.499979,218,737.861936
255.233603,256,738.53587
235.95955,297,739.413635
257.734499,267,740.327831
254.151367,316,748.046265
274.957399,317,748.845308
294.337729,323,749.816813
262.785423,313,750.717486
276.509873,299,751.509031
246.428081,253,752.182581
262.148967,261,753.155779
46.116535,251,760.298191
274.122632,256,760.879387
254.672233,542,762.254503
248.8995,249,762.847343
256.672369,301,767.289691
290.672472,265,768.15151
262.74452,372,775.97194
230.320017,263,776.584642
261.016699,289,777.228484
108.506631,1000,781.008199
277.930502,357,782.039361
231.640465,260,787.994262
54.524913,213,788.818087
254.434091,309,789.556272
271.08083,295,790.173196
242.11022,287,790.794722
272.280432,403,791.774975
276.679032,256,792.390311
228.814166,436,799.023611
249.593478,271,799.870803
242.100847,359,800.767518
286.732295,321,801.534479
232.042547,255,802.27108
